zone_type,rainfall_mm,week_type,population_density,month,special_event,previous_wet_tons,previous_dry_tons,wet_waste_tons,dry_waste_tons
market,3.1,normal,low,4,no,6.57,2.38,6.29,2.65
market,14.4,normal,high,4,no,13.33,3.0,13.55,3.8
tourist_area,44.0,normal,high,12,no,5.57,6.76,6.04,7.6
market,135.4,holiday,medium,8,yes,15.0,3.97,13.81,2.9
residential,1.2,normal,medium,10,no,5.85,1.84,5.87,2.36
residential,23.7,normal,high,4,yes,6.78,3.08,7.75,2.7
office,2.8,festival,high,2,no,5.16,5.92,5.61,5.52
school,164.6,holiday,high,2,no,5.2,5.14,4.56,5.76
residential,68.3,normal,medium,1,no,3.64,1.62,3.49,2.11
residential,0.6,holiday,high,5,no,8.78,4.03,9.64,4.09
office,176.3,normal,medium,6,no,3.06,3.56,3.22,2.83
residential,244.2,normal,medium,9,no,5.01,0.45,4.78,1.84
office,13.1,normal,low,5,no,3.22,2.73,3.2,2.82
office,105.1,festival,low,6,no,4.29,3.3,3.78,3.42
residential,75.4,festival,medium,6,no,8.18,3.25,7.98,2.55
residential,31.9,normal,medium,3,no,4.51,2.21,4.4,2.83
tourist_area,12.5,normal,low,12,no,3.05,4.12,2.72,3.93
market,11.7,normal,high,4,no,11.61,2.95,11.25,3.01
market,16.6,festival,low,1,no,9.21,2.72,9.66,3.06
office,4.7,festival,medium,4,no,6.52,3.67,5.8,4.22
tourist_area,53.4,normal,medium,1,no,3.44,5.51,4.49,4.96
tourist_area,12.9,holiday,high,5,no,8.11,5.67,7.57,7.12
office,15.3,holiday,medium,11,no,3.91,3.76,2.76,4.83
market,67.3,normal,low,11,no,6.9,1.61,6.83,2.15
residential,56.1,normal,medium,8,no,5.94,2.49,7.01,2.52
office,84.9,normal,high,8,yes,5.74,4.04,6.01,4.47
school,94.0,normal,high,5,no,4.5,4.85,6.15,4.04
market,65.3,normal,medium,10,no,9.41,3.13,9.37,3.09
tourist_area,5.6,normal,medium,2,no,4.63,6.5,4.54,5.91
residential,19.2,festival,high,12,yes,11.94,3.98,10.59,4.58
market,300.0,normal,low,6,no,8.28,0.69,8.39,0.97
residential,14.0,normal,medium,1,no,6.03,1.97,5.57,1.19
market,84.9,normal,medium,7,yes,11.64,3.21,11.58,2.62
residential,6.5,normal,low,11,no,3.3,0.49,3.4,1.53
residential,3.6,normal,medium,4,no,5.52,2.03,5.37,2.96
residential,40.4,normal,medium,5,no,4.85,2.74,5.03,2.1
school,151.3,normal,medium,6,no,3.44,3.12,4.51,3.29
office,104.2,normal,high,11,no,4.77,5.06,4.3,5.4
school,44.5,normal,medium,1,yes,2.4,4.84,2.64,4.69
tourist_area,64.4,normal,high,9,no,6.51,5.92,6.33,6.18
market,1.2,holiday,low,10,no,8.67,2.32,8.79,2.35
residential,126.9,normal,medium,4,no,5.82,2.02,5.77,2.66
office,33.5,normal,low,8,yes,2.87,3.11,2.79,2.29
residential,11.2,holiday,high,5,yes,12.54,2.46,10.59,2.74
tourist_area,70.9,normal,high,11,no,4.91,8.11,5.57,7.66
residential,98.5,normal,medium,8,no,4.78,0.93,5.04,1.49
tourist_area,7.3,holiday,high,1,no,5.8,7.39,6.13,7.56
residential,191.4,normal,medium,8,yes,7.67,2.75,6.75,2.87
tourist_area,150.4,normal,high,11,no,4.68,7.44,6.2,6.64
market,2.7,holiday,high,11,no,12.59,3.09,13.58,3.26
tourist_area,59.5,holiday,high,4,no,7.81,6.91,8.65,6.69
residential,14.9,festival,medium,2,no,7.44,3.61,7.95,3.29
school,22.3,normal,low,11,no,0.72,3.81,1.54,3.32
tourist_area,211.6,normal,medium,6,no,6.29,3.65,5.28,4.39
market,108.8,normal,low,2,no,4.42,2.3,6.12,2.53
school,9.1,normal,medium,5,no,3.29,3.04,2.52,3.56
school,7.2,normal,medium,2,no,3.15,3.64,2.63,3.93
market,2.5,normal,medium,3,no,7.53,2.13,8.17,2.3
school,24.8,festival,low,11,no,3.21,3.66,3.55,3.38
school,53.0,normal,low,6,no,1.36,2.27,2.03,1.8
tourist_area,15.9,normal,medium,1,no,4.49,5.25,4.12,4.92
residential,28.5,normal,high,6,no,7.91,3.05,7.51,2.93
residential,15.6,normal,medium,3,no,5.43,2.14,6.69,1.75
tourist_area,30.9,normal,medium,7,no,6.66,4.53,6.11,4.46
tourist_area,54.1,normal,high,2,no,4.97,7.03,5.1,6.7
market,16.0,normal,medium,6,no,9.48,1.14,9.19,1.63
school,63.9,normal,medium,8,no,1.29,2.89,2.09,3.64
residential,61.2,festival,medium,1,no,9.76,3.65,8.87,2.4
residential,41.1,festival,low,11,no,5.63,2.88,5.72,2.5
market,7.4,normal,high,11,no,12.41,3.83,12.27,2.94
market,23.7,normal,low,9,no,6.71,2.48,7.86,2.33
school,37.7,holiday,medium,5,no,4.4,5.14,3.62,5.05
residential,14.9,festival,low,5,no,8.35,2.69,7.6,1.81
tourist_area,43.6,normal,low,12,yes,3.97,4.65,3.52,4.18
tourist_area,17.7,holiday,high,5,no,7.53,7.29,7.92,6.32
school,73.3,normal,low,6,no,2.24,0.78,1.88,1.53
market,18.0,holiday,low,2,no,4.19,2.31,4.97,2.22
residential,124.5,festival,medium,6,no,10.18,2.88,8.92,2.68
office,69.8,normal,low,11,no,2.02,2.43,2.19,2.33
school,1.5,festival,low,4,no,2.81,2.78,3.16,2.65
residential,97.8,normal,high,8,no,6.95,2.68,8.47,3.21
tourist_area,1.0,festival,high,11,no,9.03,8.87,9.47,9.11
office,84.6,normal,high,9,no,5.54,3.81,4.84,3.38
tourist_area,235.9,holiday,high,9,no,6.89,6.99,6.67,6.33
office,83.7,normal,medium,8,no,4.2,2.49,3.2,2.3
school,80.8,normal,low,3,no,3.31,2.12,1.94,2.99
market,29.9,normal,high,10,no,10.24,4.21,11.99,4.37
tourist_area,81.6,festival,high,11,yes,10.79,10.0,11.19,10.29
office,42.5,holiday,high,11,no,6.7,5.61,5.64,6.35
residential,3.3,holiday,medium,4,no,7.82,3.06,6.64,3.56
residential,7.9,festival,low,1,no,4.85,2.23,4.54,2.19
market,40.7,normal,high,9,no,12.45,3.97,12.12,3.59
office,5.6,normal,high,5,no,5.41,4.44,5.82,4.16
tourist_area,66.0,normal,high,6,no,5.74,5.88,6.27,5.31
residential,19.1,normal,low,3,yes,4.14,1.82,3.31,2.72
school,93.9,normal,low,11,no,1.51,3.05,3.06,2.53
market,17.1,normal,low,10,no,5.82,2.04,5.42,2.45
tourist_area,156.6,normal,high,8,no,6.22,4.72,6.29,5.29
office,234.9,normal,low,7,yes,1.36,3.54,2.93,2.85
office,62.9,normal,low,1,no,2.83,3.15,2.79,3.68
market,7.0,normal,high,10,yes,15.0,4.49,14.25,3.9
market,20.6,festival,low,12,no,10.13,3.42,9.11,3.25
residential,12.8,holiday,high,5,no,8.72,2.78,8.23,2.85
residential,15.3,festival,medium,10,yes,10.17,3.6,9.3,4.19
office,14.1,normal,high,9,no,4.67,4.15,4.56,4.31
office,52.5,normal,medium,12,no,5.2,4.51,4.39,3.48
tourist_area,18.1,holiday,high,11,no,6.51,8.23,6.75,8.69
tourist_area,22.3,normal,high,12,no,6.03,7.14,5.92,7.48
school,300.0,normal,low,6,yes,2.56,3.12,2.0,2.44
office,59.2,normal,low,8,no,3.95,2.13,3.6,1.95
tourist_area,20.1,normal,medium,10,yes,6.63,6.13,6.92,5.51
office,44.6,normal,medium,1,no,3.02,4.87,2.83,4.23
residential,4.9,normal,high,10,no,5.88,2.44,6.18,2.87
market,28.4,normal,medium,11,no,7.29,3.22,7.85,3.06
residential,70.9,normal,medium,7,no,7.13,0.66,7.35,1.09
tourist_area,60.6,normal,low,3,no,3.63,4.01,2.94,2.99
school,57.6,holiday,high,9,no,3.73,5.08,4.88,5.36
residential,78.6,normal,high,6,no,9.02,1.82,8.83,1.38
school,27.4,normal,medium,5,yes,2.45,4.62,2.79,4.55
school,41.2,holiday,medium,8,no,4.03,4.33,4.54,3.34
market,69.3,normal,low,8,no,7.56,1.28,6.81,1.53
residential,16.2,normal,medium,12,no,3.96,1.77,4.6,2.26
school,13.1,normal,medium,12,no,4.22,4.85,3.74,4.91
market,22.3,normal,low,3,no,5.64,1.5,5.26,2.13
office,27.5,normal,medium,2,no,3.45,2.76,3.43,3.58
market,25.1,holiday,medium,2,no,9.55,3.74,9.6,2.9
office,31.9,normal,medium,5,no,2.13,2.21,2.5,2.62
school,11.0,normal,medium,10,no,4.54,4.21,4.26,5.01
school,4.1,normal,low,12,no,1.25,3.78,1.12,3.58
office,128.8,normal,high,7,no,5.3,3.12,5.32,2.99
market,213.1,normal,high,8,no,13.12,3.02,13.37,3.02
residential,8.9,normal,medium,10,no,3.66,3.35,3.87,2.79
residential,47.8,normal,low,8,no,5.66,0.91,5.44,0.64
office,20.7,normal,high,12,no,2.58,6.08,2.97,6.07
school,121.9,normal,high,8,no,4.25,4.59,3.27,4.72
office,32.3,normal,low,10,yes,2.52,2.99,1.52,2.37
residential,1.3,holiday,medium,12,no,5.73,4.37,6.19,3.85
residential,38.3,normal,low,11,no,2.38,1.53,2.21,1.42
residential,1.9,normal,medium,3,no,7.81,1.94,6.75,1.45
market,18.9,normal,low,11,no,5.58,2.9,5.94,1.97
school,52.8,holiday,medium,2,no,2.2,5.59,2.19,4.57
market,18.0,normal,medium,4,no,10.17,3.83,10.86,3.35
market,4.8,normal,medium,1,no,9.5,3.4,8.94,3.08
tourist_area,126.1,holiday,medium,3,yes,6.93,5.85,7.11,5.72
residential,66.0,holiday,medium,11,no,6.32,3.36,6.41,3.03
market,151.5,normal,medium,9,yes,13.29,3.48,12.34,3.67
office,70.0,normal,low,7,no,3.82,2.35,3.36,2.36
market,58.6,holiday,low,7,no,8.54,1.79,9.67,2.34
school,85.1,festival,high,1,no,4.6,7.22,5.38,6.95
office,111.7,festival,low,7,yes,4.95,1.92,6.14,3.2
tourist_area,57.4,normal,high,10,no,5.11,6.5,5.72,6.59
residential,98.8,normal,high,7,no,10.08,2.47,8.79,2.33
tourist_area,12.3,normal,medium,4,no,5.6,5.56,4.99,5.23
market,300.0,holiday,medium,7,no,12.21,2.0,11.81,1.7
residential,77.4,normal,medium,8,no,6.15,2.66,6.5,2.27
market,4.5,normal,high,3,no,10.85,4.35,10.52,4.3
tourist_area,7.4,holiday,high,10,no,7.19,7.21,5.46,7.59
market,19.7,normal,high,2,yes,11.46,5.31,13.25,4.9
residential,44.4,holiday,low,7,no,6.32,1.15,5.6,2.62
school,18.6,normal,medium,5,no,2.9,3.8,2.5,3.66
residential,16.3,normal,medium,5,no,5.22,2.04,6.34,1.39
residential,45.3,normal,medium,5,no,6.32,1.01,5.29,2.12
residential,109.3,holiday,low,7,no,4.35,0.89,5.48,1.5
residential,300.0,normal,low,9,no,4.0,1.17,3.8,1.39
residential,6.0,normal,high,11,yes,8.47,4.76,7.48,4.33
residential,125.2,festival,medium,8,no,8.72,3.53,9.94,3.33
school,62.9,normal,medium,6,no,4.62,4.05,4.5,4.5
residential,153.2,normal,medium,7,no,6.7,2.97,7.03,2.62
residential,300.0,normal,high,9,no,8.8,2.56,8.65,1.93
tourist_area,51.3,normal,high,11,no,7.49,6.75,7.32,5.25
market,91.6,normal,medium,6,no,9.94,2.16,9.23,2.51
school,19.9,normal,low,1,no,1.24,2.49,1.5,2.24
residential,54.1,normal,medium,4,no,4.6,1.57,4.33,1.86
residential,219.1,normal,high,8,no,7.1,3.06,6.71,2.48
residential,300.0,normal,medium,7,yes,7.64,1.64,7.84,1.53
residential,15.2,normal,medium,3,no,4.37,2.71,5.22,2.24
residential,141.0,normal,medium,10,no,5.59,3.14,5.24,2.48
residential,5.1,normal,medium,3,no,5.37,2.52,5.0,2.84
residential,8.8,normal,high,11,no,6.19,4.07,5.74,4.07
residential,2.8,normal,medium,3,no,4.44,3.07,4.57,2.25
market,9.5,normal,low,12,no,5.54,2.83,6.21,2.16
residential,43.8,holiday,low,1,no,4.55,2.26,4.88,2.35
market,57.5,normal,medium,10,no,10.34,2.5,10.05,3.17
market,45.3,festival,high,1,no,15.0,5.44,15.25,5.81
school,98.4,festival,medium,6,no,4.58,3.92,4.19,3.68
residential,21.6,normal,high,1,yes,5.66,4.71,6.82,4.89
office,37.0,normal,high,5,no,3.48,3.24,4.37,2.84
school,14.9,normal,low,4,no,2.63,3.58,2.27,3.07
residential,55.2,holiday,low,5,no,5.47,1.2,5.04,1.69
office,103.6,normal,low,7,no,1.18,2.28,2.5,1.22
tourist_area,115.3,normal,high,6,no,8.35,5.21,7.67,6.26
residential,23.0,normal,low,12,yes,5.09,2.17,5.19,2.89
residential,252.0,holiday,medium,9,no,6.66,2.78,6.68,2.89
office,64.5,holiday,medium,6,no,2.61,4.45,2.62,3.57
office,83.2,normal,high,9,yes,5.06,4.99,6.11,4.94
residential,45.1,normal,low,4,no,2.75,2.23,3.32,2.32
residential,20.4,normal,medium,1,yes,4.35,1.65,4.37,1.83
market,66.0,normal,medium,1,no,7.11,2.08,6.61,2.44
market,12.8,holiday,medium,10,no,10.34,4.35,9.61,4.35
school,50.1,normal,high,7,yes,4.92,5.08,4.63,4.5
market,65.9,normal,low,3,yes,6.46,1.63,7.94,2.15
market,18.7,normal,high,2,yes,11.61,4.66,11.51,3.94
office,57.6,holiday,medium,6,yes,5.99,3.48,6.45,3.39
residential,53.9,holiday,medium,6,no,7.29,2.58,7.1,2.31
residential,93.0,normal,medium,7,no,6.0,1.82,5.31,2.15
office,32.0,holiday,medium,5,no,4.39,3.59,3.95,3.3
tourist_area,56.2,normal,low,8,no,5.15,2.85,3.9,2.96
market,210.5,normal,medium,7,no,10.65,3.55,10.11,2.69
market,45.3,normal,medium,2,no,7.34,3.12,6.97,2.83
residential,6.3,normal,medium,1,no,4.48,2.68,3.39,3.22
market,143.5,normal,medium,9,no,8.48,3.15,9.81,2.39
market,27.7,festival,high,5,no,15.0,4.09,17.01,4.67
residential,6.1,normal,medium,12,no,3.64,2.16,3.68,2.48
residential,9.6,normal,low,11,no,5.95,2.25,5.21,1.83
market,15.8,normal,medium,5,no,7.91,3.14,8.0,2.41
residential,36.0,normal,high,12,no,8.33,3.49,5.98,3.06
residential,30.5,festival,high,10,no,10.65,3.89,12.47,3.69
residential,22.8,normal,medium,4,no,4.78,1.61,5.09,1.88
residential,43.9,normal,high,2,no,4.88,4.24,5.03,4.07
residential,42.6,holiday,medium,5,no,7.2,3.15,5.83,2.77
tourist_area,28.9,normal,medium,2,no,4.35,5.83,3.35,5.37
school,46.4,normal,high,12,no,4.51,6.61,5.0,6.24
school,58.7,normal,high,7,yes,5.86,5.82,6.33,5.79
office,63.9,normal,medium,11,no,1.8,4.09,2.75,4.2
market,139.3,festival,high,9,no,15.0,3.9,16.3,3.5
residential,156.8,holiday,low,9,yes,4.08,3.02,5.74,2.49
market,23.7,normal,high,11,no,11.81,3.71,11.97,4.47
school,86.6,holiday,medium,6,no,4.65,4.42,4.59,3.6
office,23.5,normal,low,1,no,4.12,2.52,3.57,2.57
market,83.6,normal,low,6,yes,9.0,2.19,8.03,2.11
residential,35.9,normal,medium,5,no,5.56,1.74,4.84,1.72
residential,19.4,normal,medium,4,no,4.49,1.74,4.5,2.73
market,54.3,normal,medium,12,no,8.85,3.72,8.97,3.58
school,89.2,normal,low,6,no,0.77,1.19,0.52,2.4
school,111.5,festival,medium,6,no,4.72,4.03,4.56,4.19
market,22.6,normal,medium,6,no,8.72,2.58,9.06,2.8
tourist_area,124.5,normal,medium,2,no,4.91,4.25,5.1,4.26
school,201.5,normal,medium,7,no,3.68,2.93,3.86,2.76
residential,46.7,normal,high,4,no,6.79,3.31,6.34,3.37
residential,12.0,normal,high,12,no,5.46,3.95,6.72,4.04
residential,97.0,normal,high,9,no,6.85,2.91,6.4,3.16
residential,4.4,holiday,medium,10,no,5.17,3.73,6.21,3.51
residential,23.2,normal,high,2,no,6.35,3.31,5.92,2.7
residential,4.7,normal,low,5,no,4.21,1.18,4.28,1.01
residential,24.2,normal,low,4,no,2.15,1.79,3.01,2.11
residential,73.9,normal,medium,9,no,5.33,3.28,5.52,1.93
tourist_area,14.8,normal,high,4,yes,6.41,6.97,7.27,7.34
residential,99.3,holiday,low,8,no,5.8,1.48,5.84,1.52
market,185.5,normal,low,8,yes,8.44,1.27,9.17,2.01
market,18.8,normal,low,6,no,8.37,1.28,8.25,1.72
tourist_area,191.3,normal,high,6,no,7.88,6.51,6.91,5.66
residential,5.6,normal,medium,11,yes,6.22,3.43,6.26,3.05
market,44.9,normal,medium,8,no,11.14,1.69,10.3,1.85
tourist_area,6.2,holiday,medium,12,no,6.49,6.12,5.28,6.6
office,43.5,normal,medium,12,no,1.07,4.65,1.62,3.3
office,15.6,holiday,medium,10,no,5.65,3.04,4.97,3.54
residential,188.6,normal,low,9,no,2.51,1.37,3.36,1.03
residential,22.3,holiday,high,5,no,10.17,4.06,10.32,3.85
school,0.7,normal,medium,11,no,1.74,4.3,2.83,4.46
tourist_area,37.8,normal,medium,1,no,3.68,6.24,4.08,5.01
school,3.5,normal,low,1,no,2.66,3.54,2.6,3.17
school,46.7,festival,medium,2,no,3.34,4.39,3.47,4.83
residential,5.5,normal,medium,10,no,4.74,1.6,5.35,2.04
office,12.7,normal,medium,10,yes,4.95,4.34,4.71,4.24
residential,43.0,normal,low,5,no,3.63,0.57,3.81,0.48
residential,92.5,holiday,high,4,no,11.04,3.25,11.4,2.85
market,13.9,normal,low,1,no,5.96,1.77,5.6,1.34
market,53.1,holiday,medium,4,no,11.53,3.28,12.14,3.5
residential,6.4,normal,high,4,no,7.14,3.49,6.31,3.25
residential,49.4,normal,medium,10,no,5.08,3.3,5.6,2.89
school,32.1,normal,high,4,no,2.28,5.53,3.66,4.47
residential,6.4,festival,medium,1,no,7.03,2.14,5.93,2.69
school,59.0,normal,medium,9,no,1.64,3.97,2.16,4.09
residential,4.2,festival,high,3,no,9.02,5.31,9.82,3.95
market,14.5,normal,medium,4,no,10.89,1.28,10.27,1.74
market,6.8,normal,medium,5,no,9.0,3.19,9.37,2.29
residential,87.2,normal,high,7,yes,8.81,3.17,9.21,3.02
residential,300.0,normal,medium,6,yes,7.86,1.98,6.99,1.75
residential,0.4,holiday,medium,5,no,7.24,3.33,8.41,3.19
residential,124.2,festival,medium,8,yes,9.98,4.15,10.03,3.83
tourist_area,25.6,festival,high,1,no,8.53,9.08,8.87,9.53
residential,214.8,holiday,high,7,yes,12.71,3.09,12.01,3.27
office,21.2,normal,medium,12,no,2.19,3.47,1.09,3.86
residential,99.2,normal,medium,6,no,6.22,2.06,5.54,1.83
school,19.1,festival,high,11,no,4.16,7.81,3.73,7.06
office,9.4,normal,low,5,no,2.77,1.92,3.31,2.44
school,3.4,holiday,low,7,no,1.18,2.9,1.41,3.38
market,15.8,holiday,high,3,no,13.27,5.63,12.91,5.38
market,1.6,normal,high,1,yes,11.68,5.71,11.35,5.45
residential,73.6,festival,high,9,no,11.62,4.54,11.64,3.76
tourist_area,11.0,normal,medium,2,no,4.89,4.09,4.13,5.05
office,22.9,normal,low,10,no,2.63,1.92,3.1,2.41
tourist_area,4.3,normal,medium,3,no,5.31,5.24,5.08,5.99
residential,254.4,normal,low,8,yes,4.73,0.85,4.67,0.7
office,67.5,normal,medium,12,no,2.96,5.25,3.45,5.04
tourist_area,6.3,normal,high,10,no,6.25,7.73,6.24,7.42
residential,79.1,holiday,low,9,no,3.44,1.62,4.06,1.54
residential,28.5,festival,high,3,yes,10.7,6.34,10.27,6.35
office,82.6,normal,medium,6,no,4.1,3.09,3.83,3.22
school,99.6,normal,medium,7,no,3.49,4.84,3.5,3.71
office,8.7,festival,low,1,no,3.34,3.89,4.09,3.59
residential,220.6,normal,medium,7,no,5.55,2.07,5.38,1.58
office,57.4,normal,low,4,no,1.54,2.77,3.25,2.34
residential,26.0,normal,high,5,no,8.4,3.51,8.36,3.58
residential,104.5,normal,high,8,no,7.68,3.13,6.89,3.39
residential,80.1,normal,medium,4,yes,6.8,2.41,6.1,2.69
office,80.8,festival,low,4,yes,4.54,4.29,5.34,3.63
school,294.9,normal,high,8,no,4.08,3.41,4.87,3.84
market,4.0,normal,medium,5,no,10.72,3.2,10.19,3.33
market,94.3,normal,low,6,no,5.86,0.86,6.61,0.39
office,33.9,normal,medium,12,no,2.43,2.72,1.91,3.34
market,23.4,normal,high,11,no,11.94,3.76,12.58,3.86
office,0.6,holiday,low,5,no,4.33,3.11,3.19,3.31
market,1.9,holiday,low,1,no,5.75,3.08,6.77,3.01
market,227.2,normal,high,7,no,15.0,3.41,15.56,3.45
market,195.6,festival,low,6,no,11.63,3.15,11.79,2.51
residential,13.3,holiday,low,2,no,3.6,1.84,4.37,1.93
office,66.5,holiday,medium,11,no,0.5,3.01,2.87,3.98
market,111.5,normal,high,7,no,15.0,1.4,14.74,2.17
residential,191.9,normal,medium,6,no,6.84,1.33,6.42,1.72
tourist_area,16.7,normal,high,5,no,5.44,6.0,5.91,5.28
market,60.6,normal,medium,8,no,9.44,2.55,9.19,2.52
market,17.1,normal,low,5,no,7.13,2.45,6.64,1.31
tourist_area,18.3,normal,high,11,yes,8.55,9.37,8.28,8.75
school,24.0,festival,medium,2,yes,2.07,5.89,2.8,6.15
residential,79.4,festival,medium,6,no,9.97,2.67,9.82,3.06
tourist_area,142.7,festival,medium,12,yes,8.84,9.12,7.66,8.44
school,8.4,normal,medium,1,no,1.6,3.99,1.83,4.25
residential,6.6,normal,low,5,no,4.51,2.74,4.98,2.89
residential,52.1,normal,low,6,no,5.97,1.12,4.66,1.01
office,107.0,normal,medium,7,no,4.1,2.38,3.93,1.89
school,17.4,normal,high,2,no,3.93,6.56,2.47,6.11
market,44.3,normal,medium,1,no,8.61,3.88,7.55,2.99
tourist_area,84.2,normal,high,6,no,6.82,6.5,7.43,5.69
office,28.2,holiday,medium,3,no,3.74,4.57,3.44,4.68
residential,38.6,normal,medium,5,no,4.25,2.15,5.87,3.05
residential,0.8,holiday,low,12,no,1.96,3.48,3.15,2.5
residential,25.4,normal,low,11,no,4.37,1.33,4.45,1.24
office,64.7,normal,medium,2,yes,3.0,4.25,2.45,4.05
residential,0.5,normal,high,1,no,6.92,3.02,6.41,2.95
school,15.6,normal,high,1,no,1.98,4.9,2.0,6.01
office,78.2,normal,high,11,no,5.45,4.95,4.28,4.63
office,13.1,normal,low,4,no,2.02,2.48,2.56,2.23
residential,18.4,normal,high,10,no,7.69,3.27,7.9,3.98
office,119.8,normal,medium,2,yes,3.05,4.58,3.38,4.64
residential,6.7,normal,low,1,yes,2.42,1.69,2.59,2.38
office,80.1,festival,high,6,yes,7.09,5.7,7.93,5.49
residential,58.9,normal,medium,4,yes,5.94,2.92,4.93,2.64
market,60.9,holiday,low,10,yes,10.31,3.24,10.72,2.61
office,19.2,normal,medium,12,no,3.09,4.3,2.22,4.52
residential,125.2,festival,medium,7,no,9.43,1.98,8.77,2.82
residential,54.2,holiday,high,11,no,9.57,4.71,9.1,4.1
office,141.2,normal,medium,6,no,3.29,3.18,3.53,2.89
office,9.2,normal,high,5,yes,6.55,4.71,5.99,4.74
school,0.5,festival,low,10,no,4.56,2.98,3.26,2.58
school,19.6,normal,medium,12,no,3.31,5.57,3.62,4.81
market,58.8,normal,medium,12,no,7.88,3.52,7.0,3.8
residential,67.9,normal,medium,12,no,4.49,3.1,3.74,2.57
residential,93.9,holiday,medium,12,no,5.48,4.03,5.56,3.69
residential,63.5,holiday,high,2,no,7.06,3.19,6.44,2.84
tourist_area,26.0,normal,high,5,no,6.42,5.18,7.28,5.45
school,114.7,normal,high,9,no,3.31,4.95,2.78,4.52
market,187.4,normal,high,9,no,12.43,3.3,13.6,2.76
market,40.4,normal,high,2,no,11.71,4.15,11.82,4.4
tourist_area,99.5,festival,medium,7,no,8.27,6.31,9.08,6.24
residential,2.7,normal,high,10,no,7.14,1.68,8.17,1.95
school,78.1,normal,medium,4,no,1.56,4.48,2.06,4.02
market,18.2,normal,medium,3,no,9.06,3.3,8.07,3.15
school,13.5,holiday,medium,11,yes,3.76,6.64,3.62,5.55
residential,29.8,normal,medium,1,no,3.97,0.57,3.9,0.85
office,33.6,normal,medium,3,no,4.05,4.56,3.15,4.61
tourist_area,7.1,normal,high,11,no,5.0,6.39,5.53,6.19
school,225.4,normal,medium,9,no,2.11,3.2,2.22,3.83
school,65.1,normal,low,9,no,2.12,2.9,1.64,2.12
tourist_area,51.2,normal,medium,7,no,6.42,4.05,5.86,4.4
office,15.6,normal,low,3,yes,2.91,3.53,3.09,3.11
residential,39.3,festival,low,3,no,7.48,2.37,7.29,2.21
school,101.0,holiday,low,4,no,1.93,3.76,1.17,4.22
school,181.6,festival,medium,7,no,3.83,4.35,4.03,3.67
market,244.4,normal,medium,7,no,10.36,2.99,10.4,2.95
office,4.5,festival,high,12,no,6.42,6.5,5.53,6.88
tourist_area,2.2,normal,high,12,no,5.49,6.59,5.53,8.49
tourist_area,24.5,normal,medium,2,yes,4.77,6.34,4.87,5.77
market,10.3,normal,medium,12,no,7.67,4.04,8.15,3.49
residential,52.8,normal,medium,5,yes,6.84,3.2,6.78,3.36
tourist_area,125.2,normal,high,7,yes,9.6,5.76,8.73,5.96
office,300.0,normal,low,7,yes,4.03,2.41,4.98,2.12
residential,62.4,normal,low,6,no,3.56,0.87,4.39,1.59
tourist_area,20.0,normal,high,10,no,5.43,6.64,6.08,6.43
office,20.9,normal,medium,10,no,4.39,3.69,4.47,3.19
market,8.2,normal,low,12,no,6.26,3.72,6.33,3.46
school,73.1,normal,low,8,no,3.91,1.74,4.0,2.19
market,17.6,holiday,high,3,no,13.69,4.94,13.51,4.54
residential,17.8,holiday,high,1,no,7.25,3.23,7.35,3.37
residential,13.5,normal,high,3,no,9.51,2.99,8.66,2.66
office,0.5,normal,medium,11,no,3.5,4.39,4.25,4.44
residential,22.2,normal,medium,2,no,5.25,1.95,5.87,2.05
residential,12.3,holiday,high,2,no,7.87,3.59,8.0,3.34
market,0.0,normal,high,2,no,11.44,3.17,11.3,2.96
market,11.0,normal,low,5,no,7.69,1.68,7.84,1.97
tourist_area,9.8,normal,high,1,no,5.02,7.24,5.84,6.81
residential,15.0,normal,low,10,no,5.08,0.8,5.36,0.32
residential,4.2,normal,low,4,no,3.12,1.17,3.31,0.85
office,21.3,holiday,medium,10,no,3.31,3.33,4.25,3.52
market,35.4,normal,medium,5,no,9.24,2.41,9.53,2.46
residential,29.8,normal,high,2,no,6.73,4.24,6.88,3.7
market,48.9,holiday,low,5,yes,9.35,2.47,10.46,2.38
residential,18.0,holiday,medium,10,no,6.47,2.6,6.79,2.05
residential,22.0,normal,high,4,no,7.84,3.29,8.11,2.79
market,172.1,normal,high,8,no,13.31,3.29,13.27,3.76
market,16.7,normal,low,1,no,6.24,3.93,7.0,3.61
tourist_area,36.3,festival,medium,12,no,7.33,7.16,7.49,7.51
market,17.1,normal,medium,5,yes,12.9,3.22,12.25,3.5
school,16.2,festival,low,11,no,1.59,4.79,2.78,4.8
school,42.8,normal,high,12,no,1.2,6.15,3.57,5.52
residential,5.8,normal,high,10,yes,7.42,4.52,7.01,4.28
school,12.4,normal,low,1,no,2.65,2.35,1.8,2.1
residential,7.6,normal,low,10,yes,5.19,3.76,6.53,2.53
tourist_area,13.3,normal,low,10,no,2.2,3.51,2.96,3.66
residential,7.9,normal,high,4,no,7.69,3.09,7.57,3.51
market,91.1,normal,low,8,no,8.73,1.27,8.17,1.4
residential,48.0,festival,medium,1,no,7.82,2.8,8.31,3.79
tourist_area,46.3,normal,medium,11,yes,7.07,6.69,7.96,6.68
market,13.6,holiday,medium,2,no,10.53,1.86,9.6,2.25
school,134.6,normal,low,1,no,0.81,2.33,1.14,2.04
residential,27.0,normal,low,11,no,3.76,2.19,3.56,2.5
